team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff,win_percentage,loss_percentage,goals_per_game,goals_against_per_game,league
NEWCASTLE UNITED,45.0,38.0,12.0,9.0,17.0,46.0,62.0,-16.0,0.315789,0.447368,1.210526,1.631579,premierleague
WOLVERHAMPTON WANDERERS,45.0,38.0,12.0,9.0,17.0,36.0,52.0,-16.0,0.315789,0.447368,0.947368,1.368421,premierleague
CRYSTAL PALACE,44.0,38.0,12.0,8.0,18.0,41.0,66.0,-25.0,0.315789,0.473684,1.078947,1.736842,premierleague
SOUTHAMPTON,43.0,38.0,12.0,7.0,19.0,47.0,68.0,-21.0,0.315789,0.5,1.236842,1.789474,premierleague
BRIGHTON & HOVE ALBION,41.0,38.0,9.0,14.0,15.0,40.0,46.0,-6.0,0.236842,0.394737,1.052632,1.210526,premierleague
BURNLEY,39.0,38.0,10.0,9.0,19.0,33.0,55.0,-22.0,0.263158,0.5,0.868421,1.447368,premierleague
FULHAM,28.0,38.0,5.0,13.0,20.0,27.0,53.0,-26.0,0.131579,0.526316,0.710526,1.394737,premierleague
WEST BROMWICH ALBION,26.0,38.0,5.0,11.0,22.0,35.0,76.0,-41.0,0.131579,0.578947,0.921053,2.0,premierleague
SHEFFIELD UNITED,23.0,38.0,7.0,2.0,29.0,20.0,63.0,-43.0,0.184211,0.763158,0.526316,1.657895,premierleague
MANCHESTER CITY,93.0,38.0,29.0,6.0,3.0,99.0,26.0,73.0,0.763158,0.078947,2.605263,0.684211,premierleague
LIVERPOOL,92.0,38.0,28.0,8.0,2.0,94.0,26.0,68.0,0.736842,0.052632,2.473684,0.684211,premierleague
CHELSEA,74.0,38.0,21.0,11.0,6.0,76.0,33.0,43.0,0.552632,0.157895,2.0,0.868421,premierleague
TOTTENHAM HOTSPUR,71.0,38.0,22.0,5.0,11.0,69.0,40.0,29.0,0.578947,0.289474,1.815789,1.052632,premierleague
ARSENAL,69.0,38.0,22.0,3.0,13.0,61.0,48.0,13.0,0.578947,0.342105,1.605263,1.263158,premierleague
MANCHESTER UNITED,58.0,38.0,16.0,10.0,12.0,57.0,57.0,0.0,0.421053,0.315789,1.5,1.5,premierleague
WEST HAM UNITED,56.0,38.0,16.0,8.0,14.0,60.0,51.0,9.0,0.421053,0.368421,1.578947,1.342105,premierleague
LEICESTER CITY,52.0,38.0,14.0,10.0,14.0,62.0,59.0,3.0,0.368421,0.368421,1.631579,1.552632,premierleague
