team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff,win_percentage,loss_percentage,goals_per_game,goals_against_per_game,league
BENEVENTO,33.0,38.0,7.0,12.0,19.0,40.0,75.0,-35.0,0.184211,0.5,1.052632,1.973684,seriea
CROTONE,23.0,38.0,6.0,5.0,27.0,45.0,92.0,-47.0,0.157895,0.710526,1.184211,2.421053,seriea
PARMA,20.0,38.0,3.0,11.0,24.0,39.0,83.0,-44.0,0.078947,0.631579,1.026316,2.184211,seriea
JUVENTUS,83.0,38.0,26.0,5.0,7.0,76.0,43.0,33.0,0.684211,0.184211,2.0,1.131579,seriea
INTER,82.0,38.0,24.0,10.0,4.0,81.0,36.0,45.0,0.631579,0.105263,2.131579,0.947368,seriea
ATALANTA,78.0,38.0,23.0,9.0,6.0,98.0,48.0,50.0,0.605263,0.157895,2.578947,1.263158,seriea
LAZIO,78.0,38.0,24.0,6.0,8.0,79.0,42.0,37.0,0.631579,0.210526,2.078947,1.105263,seriea
ROMA,70.0,38.0,21.0,7.0,10.0,77.0,51.0,26.0,0.552632,0.263158,2.026316,1.342105,seriea
MILAN,66.0,38.0,19.0,9.0,10.0,63.0,46.0,17.0,0.5,0.263158,1.657895,1.210526,seriea
NAPOLI,62.0,38.0,18.0,8.0,12.0,61.0,50.0,11.0,0.473684,0.315789,1.605263,1.315789,seriea
SASSUOLO,51.0,38.0,14.0,9.0,15.0,69.0,63.0,6.0,0.368421,0.394737,1.815789,1.657895,seriea
HELLAS VERONA,49.0,38.0,12.0,13.0,13.0,47.0,51.0,-4.0,0.315789,0.342105,1.236842,1.342105,seriea
FIORENTINA,49.0,38.0,12.0,13.0,13.0,51.0,48.0,3.0,0.315789,0.342105,1.342105,1.263158,seriea
PARMA,49.0,38.0,14.0,7.0,17.0,56.0,57.0,-1.0,0.368421,0.447368,1.473684,1.5,seriea
BOLOGNA,47.0,38.0,12.0,11.0,15.0,52.0,65.0,-13.0,0.315789,0.394737,1.368421,1.710526,seriea
UDINESE,45.0,38.0,12.0,9.0,17.0,37.0,51.0,-14.0,0.315789,0.447368,0.973684,1.342105,seriea
CAGLIARI,45.0,38.0,11.0,12.0,15.0,52.0,56.0,-4.0,0.289474,0.394737,1.368421,1.473684,seriea
SAMPDORIA,42.0,38.0,12.0,6.0,20.0,48.0,65.0,-17.0,0.315789,0.526316,1.263158,1.710526,seriea
TORINO,40.0,38.0,11.0,7.0,20.0,46.0,68.0,-22.0,0.289474,0.526316,1.210526,1.789474,seriea
GENOA,39.0,38.0,10.0,9.0,19.0,47.0,73.0,-26.0,0.263158,0.5,1.236842,1.921053,seriea
LECCE,35.0,38.0,9.0,8.0,21.0,52.0,85.0,-33.0,0.236842,0.552632,1.368421,2.236842,seriea
BRESCIA,25.0,38.0,6.0,7.0,25.0,35.0,79.0,-44.0,0.157895,0.657895,0.921053,2.078947,seriea
SPAL,20.0,38.0,5.0,5.0,28.0,27.0,77.0,-50.0,0.131579,0.736842,0.710526,2.026316,seriea
