id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,FC BAYERN MÜNCHEN,82,34,26,4,4,100,32,68
2,BORUSSIA DORTMUND,69,34,21,6,7,84,41,43
3,RB LEIPZIG,66,34,18,12,4,81,37,44
4,BORUSSIA M'GLADBACH,65,34,20,5,9,66,40,26
5,BAYER 04 LEVERKUSEN,63,34,19,6,9,61,44,17
6,TSG HOFFENHEIM,52,34,15,7,12,53,53,0
7,VFL WOLFSBURG,49,34,13,10,11,48,46,2
8,SC FREIBURG,48,34,13,9,12,48,47,1
9,EINTRACHT FRANKFURT,45,34,13,6,15,59,60,-1
10,HERTHA BSC,41,34,11,8,15,48,59,-11
11,1. FC UNION BERLIN,41,34,12,5,17,41,58,-17
12,FC SCHALKE 04,39,34,9,12,13,38,58,-20
13,1. FSV MAINZ 05,37,34,11,4,19,44,65,-21
14,1. FC KÖLN,36,34,10,6,18,51,69,-18
15,FC AUGSBURG,36,34,9,9,16,45,63,-18
16,SV WERDER BREMEN,31,34,8,7,19,42,69,-27
17,FORTUNA DÜSSELDORF,30,34,6,12,16,36,67,-31
18,SC PADERBORN 07,20,34,4,8,22,37,74,-37
