id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,FC BAYERN MÜNCHEN,78,34,24,6,4,99,44,55
2,RB LEIPZIG,65,34,19,8,7,60,32,28
3,BORUSSIA DORTMUND,64,34,20,4,10,75,46,29
4,VFL WOLFSBURG,61,34,17,10,7,61,37,24
5,EINTRACHT FRANKFURT,60,34,16,12,6,69,53,16
6,BAYER 04 LEVERKUSEN,52,34,14,10,10,53,39,14
7,1. FC UNION BERLIN,50,34,12,14,8,50,43,7
8,BORUSSIA M'GLADBACH,49,34,13,10,11,64,56,8
9,VFB STUTTGART,45,34,12,9,13,56,55,1
10,SC FREIBURG,45,34,12,9,13,52,52,0
11,TSG HOFFENHEIM,43,34,11,10,13,52,54,-2
12,1. FSV MAINZ 05,39,34,10,9,15,39,56,-17
13,FC AUGSBURG,36,34,10,6,18,36,54,-18
14,HERTHA BSC,35,34,8,11,15,41,52,-11
15,DSC ARMINIA BIELEFELD,35,34,9,8,17,26,52,-26
16,1. FC KÖLN,33,34,8,9,17,34,60,-26
17,SV WERDER BREMEN,31,34,7,10,17,36,57,-21
18,FC SCHALKE 04,16,34,3,7,24,25,86,-61
