id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,MANCHESTER CITY,86,38,27,5,6,83,32,51
2,MANCHESTER UNITED,74,38,21,11,6,73,44,29
3,LIVERPOOL,69,38,20,9,9,68,42,26
4,CHELSEA,67,38,19,10,9,58,36,22
5,LEICESTER CITY,66,38,20,6,12,68,50,18
6,WEST HAM UNITED,65,38,19,8,11,62,47,15
7,TOTTENHAM HOTSPUR,62,38,18,8,12,68,45,23
8,ARSENAL,61,38,18,7,13,55,39,16
9,LEEDS UNITED,59,38,18,5,15,62,54,8
10,EVERTON,59,38,17,8,13,47,48,-1
11,ASTON VILLA,55,38,16,7,15,55,46,9
12,NEWCASTLE UNITED,45,38,12,9,17,46,62,-16
13,WOLVERHAMPTON WANDERERS,45,38,12,9,17,36,52,-16
14,CRYSTAL PALACE,44,38,12,8,18,41,66,-25
15,SOUTHAMPTON,43,38,12,7,19,47,68,-21
16,BRIGHTON & HOVE ALBION,41,38,9,14,15,40,46,-6
17,BURNLEY,39,38,10,9,19,33,55,-22
18,FULHAM,28,38,5,13,20,27,53,-26
19,WEST BROMWICH ALBION,26,38,5,11,22,35,76,-41
20,SHEFFIELD UNITED,23,38,7,2,29,20,63,-43
