id,team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff
1,PARIS SAINT-GERMAIN,86,38,26,8,4,90,36,54
2,OLYMPIQUE DE MARSEILLE,71,38,21,8,9,63,38,25
3,AS MONACO,69,38,20,9,9,65,40,25
4,STADE RENNAIS FC,66,38,20,6,12,82,40,42
5,OGC NICE,66,38,20,7,11,52,36,16
6,RC STRASBOURG ALSACE,63,38,17,12,9,60,43,17
7,RC LENS,62,38,17,11,10,62,48,14
8,OLYMPIQUE LYONNAIS,61,38,17,11,10,66,51,15
9,FC NANTES,55,38,15,10,13,55,48,7
10,LOSC LILLE,55,38,14,13,11,48,48,0
11,STADE BRESTOIS 29,48,38,13,9,16,49,57,-8
12,STADE DE REIMS,46,38,11,13,14,43,44,-1
13,MONTPELLIER HÉRAULT SC,43,38,12,7,19,49,61,-12
14,ANGERS SCO,41,38,10,11,17,44,55,-11
15,ESTAC TROYES,38,38,9,11,18,37,53,-16
16,FC LORIENT,36,38,8,12,18,35,63,-28
17,CLERMONT FOOT 63,36,38,9,9,20,38,69,-31
18,AS SAINT-ÉTIENNE,32,38,7,11,20,42,77,-35
19,FC METZ,31,38,6,13,19,35,69,-34
20,FC GIRONDINS DE BORDEAUX,31,38,6,13,19,52,91,-39
